Fund,Rating,Category,Return 1-Year,Return 3-Year,Return 5-Year,Return 10-Year,Return 15-Year,Return 20-Year
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme,2,DT-INC    ,1.76,6.83,7.85,7.94,,
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,3,DT-INC    ,2.27,7.37,,,,
Aditya Birla Sun Life Advantage Fund,5,EQ-MLC    ,31.67,22.29,24.79,18.5,17.69,18.67
Aditya Birla Sun Life Advantage Fund - Direct Plan,5,EQ-MLC    ,33.37,23.75,,,,
Aditya Birla Sun Life Balanced '95 Fund,4,HY-EQ     ,20.62,15.97,18.14,16.32,17.33,19.02
Aditya Birla Sun Life Balanced '95 Fund - Direct Plan,4,HY-EQ     ,22.19,17.38,,,,
Aditya Birla Sun Life Balanced Advantage Fund,3,HY-AA     ,10.91,14.13,14.37,12.09,12.39,
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,4,HY-AA     ,12.3,15.11,,,,
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,5,EQ-BANK   ,30.83,27.41,,,,
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,5,EQ-BANK   ,29.04,26.14,,,,
Aditya Birla Sun Life Cash Manager,2,DT-UST    ,5.89,7.21,7.76,7.93,7.62,
Aditya Birla Sun Life Cash Manager - Direct Plan,4,DT-UST    ,6.8,8.11,,,,
Aditya Birla Sun Life Cash Plus,3,DT-LIQ    ,6.6,7.15,7.74,8.1,,
Aditya Birla Sun Life Cash Plus - Direct Plan,4,DT-LIQ    ,6.69,7.24,,,,
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Direct Plan,2,GL-MLT    ,-1.23,5.79,,,,
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Regular Plan,2,GL-MLT    ,-1.36,5.71,6.95,6.67,6.84,
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,4,DT-CO     ,7.99,,,,,
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,3,DT-CO     ,6.71,,,,,
Aditya Birla Sun Life Dividend Yield Plus Fund,1,EQ-MC     ,22.85,15.72,16.74,15.4,,
Aditya Birla Sun Life Dividend Yield Plus Fund - Direct Plan,1,EQ-MC     ,23.84,16.63,,,,
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,3,DT-DB     ,1.83,7.2,,,,
Aditya Birla Sun Life Dynamic Bond Fund - Retail Plan,2,DT-DB     ,1.28,6.53,8.39,8.94,,
Aditya Birla Sun Life Enhanced Arbitrage Fund,1,HY-AR     ,5.74,6.08,6.72,,,
Aditya Birla Sun Life Enhanced Arbitrage Fund - Direct Plan,3,HY-AR     ,6.42,6.75,,,,
Aditya Birla Sun Life Equity Fund,4,EQ-MLC    ,24.97,21.1,23.23,18.1,19.81,
Aditya Birla Sun Life Equity Fund - Direct Plan,5,EQ-MLC    ,26.5,22.34,,,,
Aditya Birla Sun Life Floating Rate Fund - Long Term Plan,2,DT-UST    ,6.42,7.98,8.51,,,
Aditya Birla Sun Life Floating Rate Fund - Long Term Plan - Direct Plan,3,DT-UST    ,6.71,8.25,,,,
Aditya Birla Sun Life Floating Rate Fund - Short Term Plan,4,DT-LIQ    ,6.66,7.2,7.77,8.14,,
Aditya Birla Sun Life Floating Rate Fund - Short Term Plan - Direct Plan,5,DT-LIQ    ,6.77,7.29,,,,
Aditya Birla Sun Life Frontline Equity Fund,4,EQ-LC     ,22.76,16.45,17.97,16.49,18.77,
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,5,EQ-LC     ,24.16,17.64,,,,
Aditya Birla Sun Life Gilt Plus - PF Plan,4,GL-MLT    ,2.1,8.39,9.86,9.26,8.1,
Aditya Birla Sun Life Gilt Plus - PF Plan - Direct Plan,5,GL-MLT    ,2.62,8.94,,,,
Aditya Birla Sun Life Income Plus,1,DT-INC    ,1.81,6.58,7.83,8.05,8.03,8.35
Aditya Birla Sun Life Income Plus - Direct Plan,2,DT-INC    ,2.49,7.43,,,,
Aditya Birla Sun Life Index Fund,2,EQ-LC     ,21.68,13.51,12.97,11.19,12.67,
